,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label,Classification
0,0,5996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
1,-1,9768,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
2,0,9732,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
3,0,7227,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
4,-1,4683,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
5,-1,7653,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
6,-1,3095,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
7,-1,5381,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
8,-1,2776,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
9,-1,6506,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2
