,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays,sector_label
0,15,54273.28,176,23924.33134582623,1,11085.927272727273,32,22470.890342679122,1,791.8272727272727,0,0.0,2
1,20,79656.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1
2,15,2253.86,1,52718.627272727266,0,0.0,0,0.0,0,0.0,0,0.0,0
4,15,33133.29,136,23970.312123438638,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
5,14,16224.8632,0,0.0,0,0.0,0,0.0,2,24600.0,1,107021.22727272726,0
6,15,7358.49,127,24165.833202202983,1,11085.927272727273,23,25126.30995670996,1,791.8272727272727,0,0.0,2
8,15,15995.04,63,20264.708557844697,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
9,15,28.63,0,0.0,1,5086.472727272727,1,1072.790909090909,0,0.0,0,0.0,0
11,15,103147.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
12,15,16381.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
13,15,19581.57,0,0.0,2,33866.88095238095,1,25752.64545454545,0,0.0,0,0.0,0
16,15,5181.51,7,23158.711267605635,4,12959.068292682929,4,22452.88780487805,0,0.0,0,0.0,0
17,15,19082.14,0,0.0,1,34994.972727272725,0,0.0,0,0.0,0,0.0,0
18,15,12819.5,137,24037.146389496706,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
19,15,53349.54,173,23708.592720970533,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0,2
20,30,5683.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
21,15,11845.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
23,15,20079.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
24,15,11307.78,173,23708.592720970533,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0,2
26,15,36188.11,8,19865.988888888893,0,0.0,0,0.0,0,0.0,0,0.0,2
28,15,412.09,45,20738.792682926836,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
29,10,35341.6944,0,0.0,0,0.0,2,26335.68095238095,0,0.0,0,0.0,0
30,15,6023.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
31,15,17307.51,0,0.0,0,0.0,1,25752.64545454545,0,0.0,0,0.0,0
32,15,341.14,106,24156.799717247868,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
33,15,365.87,0,0.0,9,12280.932967032968,10,10497.140594059405,0,0.0,0,0.0,0
34,35,32751.88,1,7003.636363636363,1,14768.30909090909,5,26760.37843137255,0,0.0,0,0.0,0
36,20,39221.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
38,15,46961.92,69,19939.72402315485,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
39,45,51641.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
40,15,52187.72,129,23963.050116188995,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
41,15,4953.83,163,23421.096137339046,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
42,15,54714.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
43,15,3228.13,185,24131.66898973528,1,11085.927272727273,37,24627.481940700804,1,791.8272727272727,0,0.0,2
44,37,23152.285799999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
46,15,34565.51,42,20951.625653206655,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
47,15,65353.0,0,0.0,0,0.0,3,96739.37096774195,0,0.0,0,0.0,0
48,15,49723.89,184,23992.65638240087,1,11085.927272727273,36,24647.709972299162,1,791.8272727272727,0,0.0,2
49,15,353.96,9,20966.524175824175,0,0.0,1,32898.281818181815,0,0.0,0,0.0,2
50,4,3435.96,1,97.92727272727272,0,0.0,0,0.0,0,0.0,0,0.0,0
53,15,21418.85,87,22512.973134328353,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
54,15,12606.72,0,0.0,0,0.0,1,3242.1454545454544,0,0.0,0,0.0,0
55,15,25580.96,0,0.0,0,0.0,1,21046.13636363636,0,0.0,0,0.0,0
56,15,20360.19,1,57215.43636363636,0,0.0,2,104499.00476190474,0,0.0,0,0.0,0
58,15,322.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
59,15,91102.25,3,13575.62258064516,7,53808.13661971831,5,33451.18235294118,0,0.0,0,0.0,0
60,15,73077.72,0,0.0,0,0.0,1,10476.336363636363,0,0.0,0,0.0,0
61,11,2064.294,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
62,15,3285.62,1,43477.990909090906,0,0.0,3,12251.616129032258,0,0.0,0,0.0,0
63,11,5045.76,0,0.0,0,0.0,0,0.0,1,40680.0,1,107021.22727272726,0
64,10,24351.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
65,15,22491.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
66,15,981.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
67,15,71008.69,167,23606.347336923987,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0,2
68,15,8445.33,0,0.0,0,0.0,3,51741.52903225806,0,0.0,0,0.0,0
69,15,79935.8,0,0.0,1,84681.6909090909,0,0.0,0,0.0,0,0.0,0
71,15,13636.19,13,20955.66641221374,0,0.0,1,32898.281818181815,1,791.8272727272727,0,0.0,2
72,15,71047.42,36,18879.6027700831,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0,2
73,15,3748.84,66,19949.116036308624,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0,2
74,15,74898.29,1,18785.790909090905,1,24573.22727272727,0,0.0,0,0.0,0,0.0,0
75,15,6300.98,130,24179.9960799385,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0,2
78,15,26520.18,1,3320.3090909090906,2,119.03809523809522,0,0.0,0,0.0,0,0.0,0
80,15,75138.42,1,26.027272727272724,3,42789.11612903226,2,8302.338095238094,0,0.0,0,0.0,0
81,15,78043.58,3,31161.69677419355,0,0.0,2,22615.490476190476,0,0.0,0,0.0,0
82,17,37400.9368,0,0.0,0,0.0,1,222734.34545454543,0,0.0,0,0.0,0
85,30,42362.3,1,37150.71818181818,0,0.0,0,0.0,1,10725.436363636363,0,0.0,0
86,15,6347.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
87,15,48129.8,75,21863.938348868174,1,11085.927272727273,14,21987.720567375887,1,791.8272727272727,0,0.0,2
89,15,5957.04,109,24251.933822181476,1,11085.927272727273,19,22865.912565445025,1,791.8272727272727,0,0.0,2
90,15,423.47,97,23450.63048403707,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
91,15,32415.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
92,15,1328.25,99,23689.139656912204,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0,2
93,15,116300.54,0,0.0,0,0.0,1,93770.33636363635,0,0.0,0,0.0,0
96,15,20306.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
97,15,17243.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
98,15,22993.63,3,22686.08387096774,2,61767.94285714285,10,28943.765346534656,0,0.0,0,0.0,0
99,15,18939.75,0,0.0,1,9359.427272727273,1,13062.6,0,0.0,0,0.0,0
100,10,13872.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
101,15,937.68,3,13575.62258064516,9,54154.419780219774,5,33451.18235294118,0,0.0,0,0.0,0
103,15,1170.27,47,20855.470912951172,0,0.0,8,17723.343209876544,1,791.8272727272727,0,0.0,2
104,15,23976.32,29,16389.271134020615,0,0.0,6,23443.847540983606,1,791.8272727272727,0,0.0,2
105,15,18828.87,0,0.0,0,0.0,1,11202.51818181818,0,0.0,0,0.0,0
106,15,720.78,151,23978.95757776306,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0,2
107,15,13091.11,7,23158.711267605635,4,12959.068292682929,3,25472.81612903226,0,0.0,0,0.0,0
108,18,28.32,6,1203.8967213114756,0,0.0,0,0.0,0,0.0,0,0.0,0
109,15,19665.2,3,13575.62258064516,8,58412.34814814814,5,33451.18235294118,0,0.0,0,0.0,0
111,17,48935.024399999995,0,0.0,0,0.0,2,37021.36666666666,0,0.0,0,0.0,0
114,15,13112.14,53,19279.40357815443,1,11085.927272727273,8,17723.343209876544,1,791.8272727272727,0,0.0,2
115,15,19997.78,0,0.0,1,16814.418181818182,3,51652.141935483865,0,0.0,0,0.0,0
