,invoice_id,cust_number,name_customer,Industry_Sector,buisness_year,issue_date,due_in_date,invoice_currency,total_open_amount,clear_date,isOpen,Ground_Truth,issue_date_format,due_in_date_format,clear_date_format,time_taken_for_payment,payment_category,sector_format,no_of_days_for_due_pay,US_Dollars,no_of_early_pays,avg_of_early_pays,no_of_OnTime_pays,avg_of_OnTime_pays,no_of_late_pays,avg_of_late_pays,no_of_VeryLate_pays,avg_of_VeryLate_pays,no_of_CriticallyLate_pays,avg_of_CriticallyLate_pays
0,1930438491.0,200769623,WAL-MAR corp,Retail,2020,1/26/20,20200210,USD,54273.28,02/11/20 0:00,0,,2020-01-26,2020-02-10,2020-02-11,1.0,Late,Retail,15,54273.28,176,23924.33134582623,1,11085.927272727273,32,22470.890342679122,1,791.8272727272727,0,0.0
1,1929646410.0,200980828,BEN E ,Food,2019,7/22/19,08/11/19,USD,79656.6,08/08/19,0,,2019-07-22,2019-08-11,2019-08-08,-3.0,Early,Food,20,79656.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,1929873765.0,200792734,MDV/ trust,,2019,9/14/19,20190929,USD,2253.86,12/30/19 0:00,0,,2019-09-14,2019-09-29,2019-12-30,92.0,CriticallyLate,AllSectors,15,2253.86,1,52718.627272727266,0,0.0,0,0.0,0,0.0,0,0.0
4,1930147974.0,200769623,WAL-MAR foundation,Retail,2019,11/13/19,20191128,USD,33133.29,11/25/19 0:00,0,,2019-11-13,2019-11-28,2019-11-25,-3.0,Early,Retail,15,33133.29,136,23970.312123438638,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0
5,2960581231.0,140106181,THE  corporation,,2019,9/20/19,20191004,CAD,22225.84,12/04/19 0:00,0,,2019-09-20,2019-10-04,2019-12-04,61.0,VeryLate,AllSectors,14,16224.8632,0,0.0,0,0.0,0,0.0,2,24600.0,1,107021.22727272726
6,1930083373.0,200769623,WAL-MAR in,Retail,2019,11/01/19,20191116,USD,7358.49,11/12/19 0:00,0,,2019-11-01,2019-11-16,2019-11-12,-4.0,Early,Retail,15,7358.49,127,24165.833202202983,1,11085.927272727273,23,25126.30995670996,1,791.8272727272727,0,0.0
8,1929439637.0,200769623,WAL-MAR corp,Retail,2019,06/07/19,20190622,USD,15995.04,6/18/19 0:00,0,,2019-06-07,2019-06-22,2019-06-18,-4.0,Early,Retail,15,15995.04,63,20264.708557844697,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0
9,1928819386.0,200762301,C&S WH systems,,2019,2/20/19,20190307,USD,28.63,03/06/19 0:00,0,,2019-02-20,2019-03-07,2019-03-06,-1.0,Early,AllSectors,15,28.63,0,0.0,1,5086.472727272727,1,1072.790909090909,0,0.0,0,0.0
11,1928550622.0,200743129,BROOKS co,,2019,01/02/19,20190117,USD,103147.37,1/22/19 0:00,0,,2019-01-02,2019-01-17,2019-01-22,5.0,Late,AllSectors,15,103147.37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,1929151655.0,200186937,SYSC corporation,,2019,4/15/19,20190430,USD,16381.45,05/06/19 0:00,0,,2019-04-15,2019-04-30,2019-05-06,6.0,Late,AllSectors,15,16381.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,1930022117.0,200721222,GO corporation,,2019,10/17/19,20191101,USD,19581.57,11/01/19 0:00,0,,2019-10-17,2019-11-01,2019-11-01,0.0,OnTime,AllSectors,15,19581.57,0,0.0,2,33866.88095238095,1,25752.64545454545,0,0.0,0,0.0
16,1930052739.0,200794332,COST in,,2019,10/25/19,20191109,USD,5181.51,11/12/19 0:00,0,,2019-10-25,2019-11-09,2019-11-12,3.0,Late,AllSectors,15,5181.51,7,23158.711267605635,4,12959.068292682929,4,22452.88780487805,0,0.0,0,0.0
17,1930209407.0,200881076,ALBERT corp,,2019,12/02/19,20191217,USD,19082.14,12/17/19 0:00,0,,2019-12-02,2019-12-17,2019-12-17,0.0,OnTime,AllSectors,15,19082.14,0,0.0,1,34994.972727272725,0,0.0,0,0.0,0,0.0
18,1930153511.0,200769623,WAL-MAR trust,Retail,2019,11/15/19,20191130,USD,12819.5,11/26/19 0:00,0,,2019-11-15,2019-11-30,2019-11-26,-4.0,Early,Retail,15,12819.5,137,24037.146389496706,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0
19,1930438462.0,200769623,WAL-MAR systems,Retail,2020,1/24/20,20200208,USD,53349.54,02/05/20 0:00,0,,2020-01-24,2020-02-08,2020-02-05,-3.0,Early,Retail,15,53349.54,173,23708.592720970533,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0
20,1991837617.0,100053554,SYSTEMS systems,,2020,01/11/20,20200210,USD,5683.5,02/11/20 0:00,0,,2020-01-11,2020-02-10,2020-02-11,1.0,Late,AllSectors,30,5683.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
21,1929773400.0,200783734,FAREW us,,2019,8/21/19,20190905,USD,11845.19,09/04/19 0:00,0,,2019-08-21,2019-09-05,2019-09-04,-1.0,Early,AllSectors,15,11845.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
23,1929626925.0,100006311,QUALITY C ,,2019,7/17/19,20190801,USD,20079.58,7/30/19 0:00,0,,2019-07-17,2019-08-01,2019-07-30,-2.0,Early,AllSectors,15,20079.58,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,1930431304.0,200769623,WAL-MAR co,Retail,2020,1/24/20,20200208,USD,11307.78,02/04/20 0:00,0,,2020-01-24,2020-02-08,2020-02-04,-4.0,Early,Retail,15,11307.78,173,23708.592720970533,1,11085.927272727273,31,23115.739871382633,1,791.8272727272727,0,0.0
26,1928620435.0,200769623,WAL-MAR foundation,Retail,2019,1/14/19,20190129,USD,36188.11,1/30/19 0:00,0,,2019-01-14,2019-01-29,2019-01-30,1.0,Late,Retail,15,36188.11,8,19865.988888888893,0,0.0,0,0.0,0,0.0,0,0.0
28,1929194820.0,200769623,WAL-MAR foundation,Retail,2019,4/23/19,20190508,USD,412.09,05/09/19 0:00,0,,2019-04-23,2019-05-08,2019-05-09,1.0,Late,Retail,15,412.09,45,20738.792682926836,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0
29,2960542344.0,140106408,WAL-M associates,,2019,4/16/19,20190426,CAD,48413.28,05/06/19 0:00,0,,2019-04-16,2019-04-26,2019-05-06,10.0,Late,AllSectors,10,35341.6944,0,0.0,0,0.0,2,26335.68095238095,0,0.0,0,0.0
30,1929170780.0,200750051,ALBER systems,,2019,4/18/19,20190503,USD,6023.53,05/03/19 0:00,0,,2019-04-18,2019-05-03,2019-05-03,0.0,OnTime,AllSectors,15,6023.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
31,1929907681.0,200721222,GO trust,,2019,9/22/19,20191007,USD,17307.51,10/07/19 0:00,0,,2019-09-22,2019-10-07,2019-10-07,0.0,OnTime,AllSectors,15,17307.51,0,0.0,0,0.0,1,25752.64545454545,0,0.0,0,0.0
32,1929847863.0,200769623,WAL-MAR in,Retail,2019,09/10/19,20190925,USD,341.14,9/23/19 0:00,0,,2019-09-10,2019-09-25,2019-09-23,-2.0,Early,Retail,15,341.14,106,24156.799717247868,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
33,1929541405.0,200726979,BJ'S  systems,,2019,6/15/19,20190630,USD,365.87,07/01/19 0:00,0,,2019-06-15,2019-06-30,2019-07-01,1.0,Late,AllSectors,15,365.87,0,0.0,9,12280.932967032968,10,10497.140594059405,0,0.0,0,0.0
34,1929535888.0,CCCA02,KRAFT  systems,,2019,07/05/19,20190809,USD,32751.88,8/30/19 0:00,0,,2019-07-05,2019-08-09,2019-08-30,21.0,Late,AllSectors,35,32751.88,1,7003.636363636363,1,14768.30909090909,5,26760.37843137255,0,0.0,0,0.0
36,1928656691.0,200700919,US  corp,,2019,1/23/19,20190212,USD,39221.31,2/13/19 0:00,0,,2019-01-23,2019-02-12,2019-02-13,1.0,Late,AllSectors,20,39221.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
38,1929497308.0,200769623,WAL-MAR corp,Retail,2019,6/17/19,20190702,USD,46961.92,6/27/19 0:00,0,,2019-06-17,2019-07-02,2019-06-27,-5.0,Early,Retail,15,46961.92,69,19939.72402315485,1,11085.927272727273,12,20537.457851239673,1,791.8272727272727,0,0.0
39,1929433546.0,200149567,RESER llc,,2019,06/04/19,20190719,USD,51641.33,7/19/19 0:00,0,,2019-06-04,2019-07-19,2019-07-19,0.0,OnTime,AllSectors,45,51641.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,1930130044.0,200769623,WAL-MAR corp,Retail,2019,11/08/19,20191123,USD,52187.72,11/19/19 0:00,0,,2019-11-08,2019-11-23,2019-11-19,-4.0,Early,Retail,15,52187.72,129,23963.050116188995,1,11085.927272727273,24,24084.290871369296,1,791.8272727272727,0,0.0
41,1930353067.0,200769623,WAL-MAR associates,Retail,2020,01/04/20,20200119,USD,4953.83,1/21/20 0:00,0,,2020-01-04,2020-01-19,2020-01-21,2.0,Late,Retail,15,4953.83,163,23421.096137339046,1,11085.927272727273,29,24292.270790378003,1,791.8272727272727,0,0.0
42,1930415312.0,200337148,COAS corporation,,2020,1/22/20,20200206,USD,54714.07,02/06/20 0:00,0,,2020-01-22,2020-02-06,2020-02-06,0.0,OnTime,AllSectors,15,54714.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
43,1930555074.0,200769623,WAL-MAR corp,Retail,2020,2/22/20,20200308,USD,3228.13,03/04/20 0:00,0,,2020-02-22,2020-03-08,2020-03-04,-4.0,Early,Retail,15,3228.13,185,24131.66898973528,1,11085.927272727273,37,24627.481940700804,1,791.8272727272727,0,0.0
44,2960541801.0,CCU001,KRAFT  trust,,2019,04/12/19,20190519,CAD,31715.46,5/31/19 0:00,0,,2019-04-12,2019-05-19,2019-05-31,12.0,Late,AllSectors,37,23152.285799999998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
46,1929141059.0,200769623,WAL-MAR trust,Retail,2019,4/16/19,20190501,USD,34565.51,4/26/19 0:00,0,,2019-04-16,2019-05-01,2019-04-26,-5.0,Early,Retail,15,34565.51,42,20951.625653206655,0,0.0,7,20161.547887323944,1,791.8272727272727,0,0.0
47,1929722196.0,200759082,INGL in,,2019,08/08/19,20190823,USD,65353.0,8/23/19 0:00,0,,2019-08-08,2019-08-23,2019-08-23,0.0,OnTime,AllSectors,15,65353.0,0,0.0,0,0.0,3,96739.37096774195,0,0.0,0,0.0
48,1930532562.0,200769623,WAL-MAR corporation,Retail,2020,2/17/20,20200303,USD,49723.89,2/27/20 0:00,0,,2020-02-17,2020-03-03,2020-02-27,-5.0,Early,Retail,15,49723.89,184,23992.65638240087,1,11085.927272727273,36,24647.709972299162,1,791.8272727272727,0,0.0
49,1928638946.0,200769623,WAL-MAR us,Retail,2019,1/18/19,20190202,USD,353.96,1/29/19 0:00,0,,2019-01-18,2019-02-02,2019-01-29,-4.0,Early,Retail,15,353.96,9,20966.524175824175,0,0.0,1,32898.281818181815,0,0.0,0,0.0
50,1929274085.0,200230690,DECA systems,,2019,05/07/19,20190511,USD,3435.96,05/10/19 0:00,0,,2019-05-07,2019-05-11,2019-05-10,-1.0,Early,AllSectors,4,3435.96,1,97.92727272727272,0,0.0,0,0.0,0,0.0,0,0.0
53,1929656804.0,200769623,WAL-MAR ,Retail,2019,7/24/19,20190808,USD,21418.85,08/05/19 0:00,0,,2019-07-24,2019-08-08,2019-08-05,-3.0,Early,Retail,15,21418.85,87,22512.973134328353,1,11085.927272727273,18,24033.357458563536,1,791.8272727272727,0,0.0
54,1930391457.0,200701314,MBM  foundation,,2020,1/15/20,20200130,USD,12606.72,1/31/20 0:00,0,,2020-01-15,2020-01-30,2020-01-31,1.0,Late,AllSectors,15,12606.72,0,0.0,0,0.0,1,3242.1454545454544,0,0.0,0,0.0
55,1930520098.0,200742791,QUI us,,2020,2/18/20,20200304,USD,25580.96,03/04/20 0:00,0,,2020-02-18,2020-03-04,2020-03-04,0.0,OnTime,AllSectors,15,25580.96,0,0.0,0,0.0,1,21046.13636363636,0,0.0,0,0.0
56,1929797274.0,200743129,BROOKS systems,,2019,8/28/19,20190912,USD,20360.19,09/10/19 0:00,0,,2019-08-28,2019-09-12,2019-09-10,-2.0,Early,AllSectors,15,20360.19,1,57215.43636363636,0,0.0,2,104499.00476190474,0,0.0,0,0.0
58,1929620499.0,200780825,SYSCO FO trust,,2019,7/16/19,20190731,USD,322.48,7/30/19 0:00,0,,2019-07-16,2019-07-31,2019-07-30,-1.0,Early,AllSectors,15,322.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
59,1930413750.0,200762301,C&S WH llc,,2020,1/21/20,20200205,USD,91102.25,02/05/20 0:00,0,,2020-01-21,2020-02-05,2020-02-05,0.0,OnTime,AllSectors,15,91102.25,3,13575.62258064516,7,53808.13661971831,5,33451.18235294118,0,0.0,0,0.0
60,1928964395.0,200769369,DI llc,,2019,3/15/19,20190330,USD,73077.72,04/01/19 0:00,0,,2019-03-15,2019-03-30,2019-04-01,2.0,Late,AllSectors,15,73077.72,0,0.0,0,0.0,1,10476.336363636363,0,0.0,0,0.0
61,2960558116.0,100030194,AMAZO ,,2019,6/30/19,20190711,CAD,2827.8,7/15/19 0:00,0,,2019-06-30,2019-07-11,2019-07-15,4.0,Late,AllSectors,11,2064.294,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,1929462621.0,200714710,SYSCO  us,,2019,06/10/19,20190625,USD,3285.62,6/24/19 0:00,0,,2019-06-10,2019-06-25,2019-06-24,-1.0,Early,AllSectors,15,3285.62,1,43477.990909090906,0,0.0,3,12251.616129032258,0,0.0,0,0.0
63,2960562705.0,140106181,THE  corp,,2019,07/08/19,20190719,CAD,6912.0,9/18/19 0:00,0,,2019-07-08,2019-07-19,2019-09-18,61.0,VeryLate,AllSectors,11,5045.76,0,0.0,0,0.0,0,0.0,1,40680.0,1,107021.22727272726
64,1929251852.0,100028450,DASA I ,,2019,05/06/19,20190516,USD,24351.25,5/23/19 0:00,0,,2019-05-06,2019-05-16,2019-05-23,7.0,Late,AllSectors,10,24351.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
65,1929446470.0,200561861,CO in,,2019,06/06/19,20190621,USD,22491.08,6/21/19 0:00,0,,2019-06-06,2019-06-21,2019-06-21,0.0,OnTime,AllSectors,15,22491.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
66,1929213250.0,200622385,US  co,,2019,4/26/19,20190511,USD,981.31,05/10/19 0:00,0,,2019-04-26,2019-05-11,2019-05-10,-1.0,Early,AllSectors,15,981.31,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
67,1930395090.0,200769623,WAL-MAR foundation,Retail,2020,1/14/20,20200129,USD,71008.69,1/24/20 0:00,0,,2020-01-14,2020-01-29,2020-01-24,-5.0,Early,Retail,15,71008.69,167,23606.347336923987,1,11085.927272727273,30,23649.7976744186,1,791.8272727272727,0,0.0
68,1928711753.0,200744019,TARG in,,2019,02/01/19,20190216,USD,8445.33,2/26/19 0:00,0,,2019-02-01,2019-02-16,2019-02-26,10.0,Late,AllSectors,15,8445.33,0,0.0,0,0.0,3,51741.52903225806,0,0.0,0,0.0
69,1929760273.0,200752302,KROGER foundation,,2019,8/19/19,20190903,USD,79935.8,09/03/19 0:00,0,,2019-08-19,2019-09-03,2019-09-03,0.0,OnTime,AllSectors,15,79935.8,0,0.0,1,84681.6909090909,0,0.0,0,0.0,0,0.0
