invoice_id,cust_number,name_customer,Industry_Sector,buisness_year,issue_date,due_in_date,invoice_currency,total_open_amount,clear_date,isOpen,Ground_Truth
1930438491,200769623,WAL-MAR corp,Retail,2020,1/26/20,20200210,USD,54273.28,02/11/20 0:00,0,
1929646410,200980828,BEN E ,Food,2019,7/22/19,08/11/19,USD,79656.6,08/08/19,0,
1929873765,200792734,MDV/ trust,,2019,9/14/19,20190929,USD,2253.86,12/30/19 0:00,0,
2960623488,140105686,SYSC llc,,2020,3/30/20,20200410,CAD,3299.7,,1,
1930147974,200769623,WAL-MAR foundation,Retail,2019,11/13/19,20191128,USD,33133.29,11/25/19 0:00,0,
2960581231,140106181,THE  corporation,,2019,9/20/19,20191004,CAD,22225.84,12/04/19 0:00,0,
1930083373,200769623,WAL-MAR in,Retail,2019,11/01/19,20191116,USD,7358.49,11/12/19 0:00,0,
1930659387,200744019,TARG us,,2020,3/19/20,20200403,USD,11173.02,,1,
1929439637,200769623,WAL-MAR corp,Retail,2019,06/07/19,20190622,USD,15995.04,6/18/19 0:00,0,
1928819386,200762301,C&S WH systems,,2019,2/20/19,20190307,USD,28.63,03/06/19 0:00,0,
1930610806,200418007,AM ,,2020,03/11/20,20200326,USD,3525.59,,1,
1928550622,200743129,BROOKS co,,2019,01/02/19,20190117,USD,103147.37,1/22/19 0:00,0,
1929151655,200186937,SYSC corporation,,2019,4/15/19,20190430,USD,16381.45,05/06/19 0:00,0,
1930022117,200721222,GO corporation,,2019,10/17/19,20191101,USD,19581.57,11/01/19 0:00,0,
1930788296,200739534,OK systems,,2020,4/15/20,20200430,USD,121105.65,,1,
1930817482,200353024,DECA corporation,,2020,4/23/20,20200426,USD,3726.06,,1,
1930052739,200794332,COST in,,2019,10/25/19,20191109,USD,5181.51,11/12/19 0:00,0,
1930209407,200881076,ALBERT corp,,2019,12/02/19,20191217,USD,19082.14,12/17/19 0:00,0,
1930153511,200769623,WAL-MAR trust,Retail,2019,11/15/19,20191130,USD,12819.5,11/26/19 0:00,0,
1930438462,200769623,WAL-MAR systems,Retail,2020,1/24/20,20200208,USD,53349.54,02/05/20 0:00,0,
1991837617,100053554,SYSTEMS systems,,2020,01/11/20,20200210,USD,5683.5,02/11/20 0:00,0,
1929773400,200783734,FAREW us,,2019,8/21/19,20190905,USD,11845.19,09/04/19 0:00,0,
1930676042,200744019,TARG associates,,2020,3/21/20,20200405,USD,5893.01,,1,
1929626925,100006311,QUALITY C ,,2019,7/17/19,20190801,USD,20079.58,7/30/19 0:00,0,
1930431304,200769623,WAL-MAR co,Retail,2020,1/24/20,20200208,USD,11307.78,02/04/20 0:00,0,
2960618790,140106408,WAL-M corp,,2020,03/06/20,20200316,CAD,92832.27,,1,
1928620435,200769623,WAL-MAR foundation,Retail,2019,1/14/19,20190129,USD,36188.11,1/30/19 0:00,0,
1930592246,200337148,COAS llc,,2020,03/02/20,20200317,USD,11380.83,,1,
1929194820,200769623,WAL-MAR foundation,Retail,2019,4/23/19,20190508,USD,412.09,05/09/19 0:00,0,
2960542344,140106408,WAL-M associates,,2019,4/16/19,20190426,CAD,48413.28,05/06/19 0:00,0,
1929170780,200750051,ALBER systems,,2019,4/18/19,20190503,USD,6023.53,05/03/19 0:00,0,
1929907681,200721222,GO trust,,2019,9/22/19,20191007,USD,17307.51,10/07/19 0:00,0,
1929847863,200769623,WAL-MAR in,Retail,2019,09/10/19,20190925,USD,341.14,9/23/19 0:00,0,
1929541405,200726979,BJ'S  systems,,2019,6/15/19,20190630,USD,365.87,07/01/19 0:00,0,
1929535888,CCCA02,KRAFT  systems,,2019,07/05/19,20190809,USD,32751.88,8/30/19 0:00,0,
1930731070,200794332,COST associates,,2020,04/07/20,20200422,USD,3863.93,,1,
1928656691,200700919,US  corp,,2019,1/23/19,20190212,USD,39221.31,2/13/19 0:00,0,
1930803605,200794332,COST llc,,2020,4/23/20,20200508,USD,74453.01,,1,
1929497308,200769623,WAL-MAR corp,Retail,2019,6/17/19,20190702,USD,46961.92,6/27/19 0:00,0,
1929433546,200149567,RESER llc,,2019,06/04/19,20190719,USD,51641.33,7/19/19 0:00,0,
1930130044,200769623,WAL-MAR corp,Retail,2019,11/08/19,20191123,USD,52187.72,11/19/19 0:00,0,
1930353067,200769623,WAL-MAR associates,Retail,2020,01/04/20,20200119,USD,4953.83,1/21/20 0:00,0,
1930415312,200337148,COAS corporation,,2020,1/22/20,20200206,USD,54714.07,02/06/20 0:00,0,
1930555074,200769623,WAL-MAR corp,Retail,2020,2/22/20,20200308,USD,3228.13,03/04/20 0:00,0,
2960541801,CCU001,KRAFT  trust,,2019,04/12/19,20190519,CAD,31715.46,5/31/19 0:00,0,
1930698352,200803720,DEC corp,,2020,3/25/20,20200408,USD,138.6,,1,
1929141059,200769623,WAL-MAR trust,Retail,2019,4/16/19,20190501,USD,34565.51,4/26/19 0:00,0,
1929722196,200759082,INGL in,,2019,08/08/19,20190823,USD,65353,8/23/19 0:00,0,
1930532562,200769623,WAL-MAR corporation,Retail,2020,2/17/20,20200303,USD,49723.89,2/27/20 0:00,0,
1928638946,200769623,WAL-MAR us,Retail,2019,1/18/19,20190202,USD,353.96,1/29/19 0:00,0,
1929274085,200230690,DECA systems,,2019,05/07/19,20190511,USD,3435.96,05/10/19 0:00,0,
1930647189,200794332,COST co,,2020,3/13/20,20200328,USD,32715.47,,1,
1930861637,200020431,DEC us,,2020,05/06/20,20200524,USD,174.72,,1,
1929656804,200769623,WAL-MAR ,Retail,2019,7/24/19,20190808,USD,21418.85,08/05/19 0:00,0,
1930391457,200701314,MBM  foundation,,2020,1/15/20,20200130,USD,12606.72,1/31/20 0:00,0,
1930520098,200742791,QUI us,,2020,2/18/20,20200304,USD,25580.96,03/04/20 0:00,0,
1929797274,200743129,BROOKS systems,,2019,8/28/19,20190912,USD,20360.19,09/10/19 0:00,0,
1930635649,200769623,WAL-MAR associates,Retail,2020,03/12/20,20200327,USD,767.78,,1,
1929620499,200780825,SYSCO FO trust,,2019,7/16/19,20190731,USD,322.48,7/30/19 0:00,0,
1930413750,200762301,C&S WH llc,,2020,1/21/20,20200205,USD,91102.25,02/05/20 0:00,0,
1928964395,200769369,DI llc,,2019,3/15/19,20190330,USD,73077.72,04/01/19 0:00,0,
2960558116,100030194,AMAZO ,,2019,6/30/19,20190711,CAD,2827.8,7/15/19 0:00,0,
1929462621,200714710,SYSCO  us,,2019,06/10/19,20190625,USD,3285.62,6/24/19 0:00,0,
2960562705,140106181,THE  corp,,2019,07/08/19,20190719,CAD,6912,9/18/19 0:00,0,
1929251852,100028450,DASA I ,,2019,05/06/19,20190516,USD,24351.25,5/23/19 0:00,0,
1929446470,200561861,CO in,,2019,06/06/19,20190621,USD,22491.08,6/21/19 0:00,0,
1929213250,200622385,US  co,,2019,4/26/19,20190511,USD,981.31,05/10/19 0:00,0,
1930395090,200769623,WAL-MAR foundation,Retail,2020,1/14/20,20200129,USD,71008.69,1/24/20 0:00,0,
1928711753,200744019,TARG in,,2019,02/01/19,20190216,USD,8445.33,2/26/19 0:00,0,
1929760273,200752302,KROGER foundation,,2019,8/19/19,20190903,USD,79935.8,09/03/19 0:00,0,
2960624627,140105785,SHOPPE foundation,,2020,3/27/20,20200410,CAD,2829.6,,1,
1928657817,200769623,WAL-MAR in,Retail,2019,1/24/19,20190208,USD,13636.19,02/11/19 0:00,0,
1929027308,200769623,WAL-MAR llc,Retail,2019,3/27/19,20190411,USD,71047.42,04/08/19 0:00,0,
1929485994,200769623,WAL-MAR corporation,Retail,2019,6/13/19,20190628,USD,3748.84,6/25/19 0:00,0,
1928831527,200772670,ASSOCIAT co,,2019,2/20/19,20190307,USD,74898.29,03/06/19 0:00,0,
1930133339,200769623,WAL-MAR foundation,Retail,2019,11/10/19,20191125,USD,6300.98,11/20/19 0:00,0,
1930577078,200769623,WAL-MAR ,Retail,2020,2/28/20,20200314,USD,14514.68,,1,
1930774741,200769623,WAL-MAR foundation,Retail,2020,04/10/20,20200425,USD,55400.31,,1,
1929249507,200705742,DOT co,,2019,05/02/19,20190517,USD,26520.18,5/17/19 0:00,0,
1930765053,200772670,ASSOCIAT corporation,,2020,04/09/20,20200424,USD,174766.36,,1,
1928964364,200762301,C&S WH ,,2019,3/15/19,20190330,USD,75138.42,04/01/19 0:00,0,
1929656725,200761734,H E BUT in,,2019,7/24/19,20190808,USD,78043.58,08/07/19 0:00,0,
2960552326,140104409,LOB us,,2019,06/02/19,20190619,CAD,51234.16,6/21/19 0:00,0,
1930645969,200900909,SYSCO systems,,2020,3/13/20,20200414,USD,31512.75,,1,
1930718081,200769623,WAL-MAR systems,Retail,2020,3/30/20,20200414,USD,19701.55,,1,
1929867941,200455322,PEA us,,2019,09/12/19,20191012,USD,42362.3,11/07/19 0:00,0,
1929854327,200290370,BARGAIN  corporation,,2019,09/10/19,20190925,USD,6347.86,9/27/19 0:00,0,
1929559339,200769623,WAL-MAR systems,Retail,2019,6/30/19,20190715,USD,48129.8,07/10/19 0:00,0,
1930788667,200726979,BJ'S  trust,,2020,4/16/20,20200501,USD,132.72,,1,
1929940577,200769623,WAL-MAR corp,Retail,2019,9/29/19,20191014,USD,5957.04,10/10/19 0:00,0,
1929767246,200769623,WAL-MAR llc,Retail,2019,8/21/19,20190905,USD,423.47,09/03/19 0:00,0,
1928896405,100028210,WEST  trust,,2019,03/04/19,20190319,USD,32415.05,3/23/19 0:00,0,
1929773090,200769623,WAL-MAR llc,Retail,2019,8/22/19,20190906,USD,1328.25,09/03/19 0:00,0,
1929670921,200743129,BROOKS in,,2019,7/28/19,20190812,USD,116300.54,8/14/19 0:00,0,
1930709919,200769623,WAL-MAR llc,Retail,2020,3/29/20,20200413,USD,1121.15,,1,
1930752568,200769623,WAL-MAR llc,Retail,2020,04/06/20,20200421,USD,11394.84,,1,
1930395778,200783609,PROFIC corporation,,2020,1/14/20,20200129,USD,20306.46,1/29/20 0:00,0,
1930174350,100033266,INTERN trust,,2019,11/25/19,20191210,USD,17243.1,12/24/19 0:00,0,
1930512246,200744019,TARG associates,,2020,02/11/20,20200226,USD,22993.63,2/26/20 0:00,0,
1929651119,200705089,JETR foundation,,2019,7/23/19,20190807,USD,18939.75,08/07/19 0:00,0,
1929487380,100032262,INTERSTA co,,2019,6/18/19,20190628,USD,13872.48,6/29/19 0:00,0,
1930461787,200762301,C&S WH systems,,2020,02/01/20,20200216,USD,937.68,2/19/20 0:00,0,
2960627274,140105847,GORDON F co,,2020,04/08/20,20200418,CAD,3685.2,,1,
1929221972,200769623,WAL-MAR co,Retail,2019,4/29/19,20190514,USD,1170.27,05/09/19 0:00,0,
1928913601,200769623,WAL-MAR co,Retail,2019,03/07/19,20190322,USD,23976.32,3/18/19 0:00,0,
1929061083,200756072,REINHA trust,,2019,04/02/19,20190417,USD,18828.87,4/17/19 0:00,0,
1930255968,200769623,WAL-MAR us,Retail,2019,12/10/19,20191225,USD,720.78,12/23/19 0:00,0,
1929908065,200794332,COST in,,2019,9/21/19,20191006,USD,13091.11,10/07/19 0:00,0,
1930553179,200353024,DECA ,,2020,2/21/20,20200310,USD,28.32,03/02/20 0:00,0,
1930452932,200762301,C&S WH us,,2020,1/30/20,20200214,USD,19665.2,2/14/20 0:00,0,
